Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	70
1	41
2	30
3	24
4	20
5	20
6	20
7	19
8	23
9	29
10	27
11	25
12	24
13	25
14	24
15	23
16	22
17	22
18	21
19	22
20	22
21	21
22	21
23	20
24	20
25	20
26	19
27	19
28	19
29	19
30	19
31	18
32	18
33	18
34	18
35	18
36	18
37	18
38	18
39	18
40	17
41	17
42	17
43	17
44	17
45	17
46	16
47	16
48	16
49	16
50	16
51	16
52	16
53	16
54	16
55	16
56	16
57	15
58	15
59	15
60	15
61	15
62	15
63	14
64	14
65	14
66	14
67	14
68	14
69	14
70	13
71	13
72	13
73	13
74	13
75	13
76	13
77	13
78	12
79	12
80	12
81	12
82	12
83	12
84	12
85	12
86	12
87	11
88	11
89	11
90	11
91	11
92	11
93	11
94	11
95	11
96	11
97	11
98	11
99	11
